Source,Subsystem,Count,Sender IPs,Log Levels,Search Matches
proxy,System.Proxy.Qlik.Sense.Net.Dns.DnsWrapper,6,192.168.100.109; 192.168.100.110,DEBUG,
proxy,System.Proxy.System.Reflection.RuntimeConstructorInfo,13,192.168.100.109,DEBUG,
proxy,Traffic.Proxy.Qlik.Sense.Common.Communication.REST.Client.BaseRESTClient,117,192.168.100.109; 192.168.100.110,DEBUG,
repository,Application.Repository.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
repository,Audit.Engine.Engine,67,192.168.100.109,INFO,
repository,Audit.Repository.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
repository,Audit.Repository.Repository.Core.Bootstrap.AbstractBootstrapper,54,192.168.100.109; 192.168.100.110,INFO,
repository,Audit.Repository.Repository.Core.Bootstrap.RepositoryBootstrapper,6,192.168.100.109; 192.168.100.110,INFO,
repository,Audit.Repository.Repository.Core.Repository.Common.FileSystemRequestManager,4,192.168.100.109,INFO,
repository,AuditActivity.Engine.Engine,31,192.168.100.109,INFO,
repository,AuditActivity.Repository.Qlik.Sense.Common.Logging.RESTLogEngine,3,192.168.100.109,INFO,
repository,AuditActivity.Repository.Repository.Communication.Clients.SchedulerClient,2,192.168.100.109,INFO,22b106a8-e7ed-4466-b700-014f060bef16
repository,AuditActivity.Repository.Repository.Core.Resource.TaskResource,2,192.168.100.109,INFO,22b106a8-e7ed-4466-b700-014f060bef16; reload of test failing reloads 1
repository,AuditSecurity.Repository.Qlik.Sense.Common.Logging.RESTLogEngine,1,192.168.100.109,INFO,
repository,AuditSecurity.Repository.Repository.Core.Licensing.AccessTypes.ProfessionalAccessTypeHandler,1,192.168.100.109,INFO,
repository,AuditSecurity.Repository.Repository.Core.Repository.ProfessionalAccessTypeRepository,1,192.168.100.109,INFO,
repository,AuditSecurity.Repository.Repository.Core.Resource.UserResource,1,192.168.100.109,INFO,
repository,License.Repository.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
repository,License.Repository.Repository.Core.Licensing.AccessTypes.ProfessionalAccessTypeHandler,1,192.168.100.109,INFO,
repository,License.Repository.Repository.Core.Repository.ProfessionalAccessTypeRepository,1,192.168.100.109,INFO,
repository,ManagementConsole.Repository.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
repository,Performance.Engine.Engine,2,192.168.100.109,INFO,
repository,Performance.Repository.Qlik.Sense.Common.Communication.REST.Server.Monitoring.RestPerformanceSession,482,192.168.100.109; 192.168.100.110,DEBUG,
